date,gas_price,uber_ride,groceries_basket,rent_index,streaming_cost,gas_price_idx,uber_ride_idx,groceries_basket_idx,rent_index_idx,streaming_cost_idx,RIPI,cpi,cpi_idx,ripi_minus_cpi_idx
2025-03-27,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-28,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-29,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-30,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-31,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-04-01,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-02,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-03,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-04,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-05,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-06,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-07,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-08,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-09,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-10,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-11,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-12,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-13,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-14,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-15,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-16,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-17,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-18,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-19,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-20,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-21,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-22,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-23,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-24,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-25,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-26,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-27,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-28,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-29,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-04-30,3.33,252.897,15.289,433.043,591.667,103.38404222291213,97.4119468753852,121.35090086514802,105.20966958211855,102.05853384230328,107.32880453201265,320.302,103.42398078127727,3.904823750735389
2025-05-01,3.306,247.099,14.662,434.038,594.158,102.63893200869296,95.17864846542587,116.37431542185888,105.4514091350826,102.48821440214722,105.7748708274294,320.62,103.52666145729066,2.2482093701387384
2025-05-02,3.306,247.099,14.662,434.038,594.158,102.63893200869296,95.17864846542587,116.37431542185888,105.4514091350826,102.48821440214722,105.7748708274294,320.62,103.52666145729066,2.2482093701387384
2025-05-03,3.306,247.099,14.662,434.038,594.158,102.63893200869296,95.17864846542587,116.37431542185888,105.4514091350826,102.48821440214722,105.7748708274294,320.62,103.52666145729066,2.2482093701387384
2025-05-04,3.306,247.099,14.662,434.038,594.158,102.63893200869296,95.17864846542587,116.37431542185888,105.4514091350826,102.48821440214722,105.7748708274294,320.62,103.52666145729066,2.2482093701387384
2025-05-05,3.306,247.099,14.662,434.038,594.158,102.63893200869296,95.17864846542587,116.37431542185888,105.4514091350826,102.48821440214722,105.7748708274294,320.62,103.52666145729066,2.2482093701387384
